,lon,lat,wind_cf,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region
161,-90.15195,35.155933000000005,0.299643414,POINT (-90.15195 35.155933),84,85,85,27.0108861016,9.90245619931,p85,rto13,MISO
152,-90.44046,43.983215,0.40346413799999997,POINT (-90.44046 43.983215),76,77,77,7.92682163369,2.11504959489,p77,rto11,MISO
154,-90.210365,38.610245,0.296277508,POINT (-90.210365 38.610245),71,72,72,15.4712716185,4.12804113063,p72,rto6,MISO
158,-90.18907,38.620186,0.297115566,POINT (-90.18907 38.620186),71,72,72,15.4712716185,4.12804113063,p72,rto6,MISO
163,-89.53325,36.87362,0.325805661,POINT (-89.53325 36.87362),71,72,72,15.4712716185,4.12804113063,p72,rto6,MISO
155,-90.20572,32.275078,0.22585466399999998,POINT (-90.20572 32.275078),86,87,87,24.7362715642,8.67976097023,p87,rto13,SERC
159,-90.17725,32.27623,0.225758853,POINT (-90.17725 32.27623),86,87,87,24.7362715642,8.67976097023,p87,rto13,SERC
162,-89.90961,38.74277,0.332648223,POINT (-89.90961 38.74277),80,81,81,20.532742779,7.18051172503,p81,rto6,MISO
164,-89.05908000000001,41.367779999999996,0.35187245100000003,POINT (-89.05908000000001 41.36778),79,80,80,10.2697215363,3.54825535637,p80,rto7,MISO
165,-89.05908000000001,41.367779999999996,0.35187245100000003,POINT (-89.05908000000001 41.36778),79,80,80,10.2697215363,3.54825535637,p80,rto7,MISO
169,-88.96157,42.249084,0.357797793,POINT (-88.96156999999999 42.249084),79,80,80,10.2697215363,3.54825535637,p80,rto7,MISO
177,-87.89213000000001,41.76078,0.32387972,POINT (-87.89213000000001 41.76078),79,80,80,10.2697215363,3.54825535637,p80,rto7,MISO
178,-87.89213000000001,41.76078,0.32387972,POINT (-87.89213000000001 41.76078),79,80,80,10.2697215363,3.54825535637,p80,rto7,MISO
179,-87.74212,41.56542,0.34277835700000003,POINT (-87.74212 41.56542),79,80,80,10.2697215363,3.54825535637,p80,rto7,MISO
180,-87.68714,41.618336,0.331178204,POINT (-87.68714 41.618336),79,80,80,10.2697215363,3.54825535637,p80,rto7,MISO
181,-87.68714,41.618336,0.331178204,POINT (-87.68714 41.618336),79,80,80,10.2697215363,3.54825535637,p80,rto7,MISO
182,-87.66813,41.57799,0.32411768,POINT (-87.66813 41.57799),79,80,80,10.2697215363,3.54825535637,p80,rto7,MISO
166,-89.02134000000001,40.443707,0.36780672799999997,POINT (-89.02134000000001 40.443707),82,83,83,10.8677758555,3.6555081526,p83,rto6,MISO
167,-89.02134000000001,40.443707,0.36780672799999997,POINT (-89.02134000000001 40.443707),82,83,83,10.8677758555,3.6555081526,p83,rto6,MISO
